Date_Time,Open,High,Low,Close,Volume
24-06-2019 11:25,11718.05,11720.4,11713.7,11716.15,25125
24-06-2019 11:30,11716.4,11719.1,11712.75,11717,89100
24-06-2019 11:35,11717.85,11721.05,11713,11713.25,29625
24-06-2019 11:40,11714,11722.5,11714,11720.7,29550
24-06-2019 11:45,11721.4,11738.9,11720.5,11733.7,157350
24-06-2019 11:50,11732.45,11747,11732.45,11739.45,173625
24-06-2019 11:55,11739.45,11745,11736.1,11745,104475
24-06-2019 12:00,11745,11759,11743.65,11751.6,185025
24-06-2019 12:05,11751.8,11752.55,11742.15,11744.9,102225
24-06-2019 12:10,11745.35,11751,11741,11750.95,162675
24-06-2019 12:15,11750.3,11752,11741.7,11742,126300
24-06-2019 12:20,11741.5,11748.65,11738.95,11743.8,133875
24-06-2019 12:25,11744.75,11752.55,11744.2,11748,72075
24-06-2019 12:30,11747.45,11749.45,11737.05,11739.4,74925
24-06-2019 12:35,11739.95,11743.8,11725.9,11734.4,175875
24-06-2019 12:40,11734.3,11740,11731.3,11738.5,42150
24-06-2019 12:45,11737.65,11747.45,11734.6,11745.05,61800
24-06-2019 12:50,11745,11747.5,11740,11741.3,151125
24-06-2019 12:55,11741.8,11745,11734.25,11743.25,47250
24-06-2019 13:00,11743.05,11747.15,11730.15,11731.1,40275
24-06-2019 13:05,11731.55,11733.3,11720,11731.05,123975
24-06-2019 13:10,11732.5,11738.1,11725,11729.05,47550
24-06-2019 13:15,11727.6,11735.85,11724.3,11732.95,43425
24-06-2019 13:20,11732.25,11737,11730.45,11732.5,21525
24-06-2019 13:25,11734,11742.45,11729.55,11736.85,56100
24-06-2019 13:30,11738.2,11746.1,11736.4,11738,69900
24-06-2019 13:35,11737.15,11741.35,11733.55,11733.55,18675
24-06-2019 13:40,11735.05,11735.05,11724,11730.85,53100
24-06-2019 13:45,11729,11738,11728.05,11733.7,37725
24-06-2019 13:50,11732.8,11738,11730,11737,35550
24-06-2019 13:55,11737.9,11737.9,11727.15,11730,66150
24-06-2019 14:00,11732,11732,11706.6,11711,251100
24-06-2019 14:05,11711,11721.45,11710.75,11714.25,64950
24-06-2019 14:10,11715.2,11721.65,11715.1,11719.05,34125
24-06-2019 14:15,11717.7,11721,11708.1,11713.5,62025
24-06-2019 14:20,11713.55,11716.95,11706,11707.35,70350
24-06-2019 14:25,11702.2,11708.9,11696.1,11708.9,251475
24-06-2019 14:30,11710.75,11711.25,11693.5,11697.2,178200
24-06-2019 14:35,11698.95,11699.9,11684,11698.25,298125
24-06-2019 14:40,11699.95,11701.65,11681.3,11683,136500
24-06-2019 14:45,11682.35,11692.9,11681,11690.05,116475
24-06-2019 14:50,11691.9,11701.75,11690.25,11701.1,100800
24-06-2019 14:55,11701.55,11705.9,11691.45,11697.95,94875
24-06-2019 15:00,11699.6,11725.4,11699.6,11714,333150
24-06-2019 15:05,11716,11719.05,11700.4,11702,127800
24-06-2019 15:10,11701,11710,11700.65,11709.05,95700
24-06-2019 15:15,11710,11724.25,11708.1,11721.75,138075
24-06-2019 15:20,11721.4,11727.9,11720.05,11727.9,175200
24-06-2019 15:25,11727.25,11729.2,11720.85,11724,182475
25-06-2019 09:15,11684.05,11702.1,11671.65,11677.25,364275
25-06-2019 09:20,11675.25,11679.9,11666.6,11675,263850
25-06-2019 09:25,11675,11684.6,11673.05,11674.45,155850
25-06-2019 09:30,11674.7,11681.65,11669,11680,126375
25-06-2019 09:35,11679.95,11682.75,11676.65,11679.5,65250
25-06-2019 09:40,11679.5,11694.25,11678.05,11692.3,167400
25-06-2019 09:45,11692.35,11698.5,11689.15,11690.15,182175
25-06-2019 09:50,11690,11705,11686.7,11701,273000
25-06-2019 09:55,11701.05,11715.9,11701,11710.95,199575
25-06-2019 10:00,11710.1,11713.95,11704.6,11713.95,174000
25-06-2019 10:05,11713.4,11722.2,11705.5,11706.1,162000
25-06-2019 10:10,11706.1,11710,11701.45,11706.9,91350
25-06-2019 10:15,11707.25,11708,11697.5,11697.5,62775
25-06-2019 10:20,11697.5,11702.45,11694.05,11700,174975
25-06-2019 10:25,11700,11705,11699,11702.9,89475
25-06-2019 10:30,11702.9,11714.95,11702.35,11714.35,87600
25-06-2019 10:35,11714.35,11718,11711.3,11714.55,75150
25-06-2019 10:40,11713.05,11714.95,11707,11710.8,74400
25-06-2019 10:45,11711.75,11715.05,11708,11708,72150
25-06-2019 10:50,11708,11710,11703.55,11709.55,128550
25-06-2019 10:55,11709.4,11709.4,11704.95,11707.2,39675
25-06-2019 11:00,11706.2,11708,11698.15,11705,71925
25-06-2019 11:05,11705.05,11706,11698.9,11702.4,70350
25-06-2019 11:10,11701.95,11710.6,11701.95,11705.3,64800
25-06-2019 11:15,11705,11710.9,11702.2,11706,39000
25-06-2019 11:20,11706,11715.2,11705,11711.6,51225
25-06-2019 11:25,11711,11713.2,11707,11710.15,203400
25-06-2019 11:30,11710.05,11724.6,11709.35,11721.75,253650
25-06-2019 11:35,11722,11726.75,11715.1,11716.5,119400
25-06-2019 11:40,11716.2,11719,11711.5,11718.65,56475
25-06-2019 11:45,11718.45,11727,11717.05,11719,94125
25-06-2019 11:50,11718,11722.05,11713.1,11722,55275
25-06-2019 11:55,11724,11734.9,11722.4,11732,185025
25-06-2019 12:00,11730.2,11738,11724.9,11725.1,142800
25-06-2019 12:05,11724.7,11745,11723.05,11743.3,201825
25-06-2019 12:10,11744.5,11757.15,11738,11749.2,295725
25-06-2019 12:15,11750.55,11760.5,11749.1,11759.95,225675
25-06-2019 12:20,11759.95,11763.9,11751.6,11757.95,223725
25-06-2019 12:25,11757.95,11760.4,11749.05,11758.6,164925
25-06-2019 12:30,11757.8,11760.8,11749.4,11753.65,105750
25-06-2019 12:35,11753.2,11755,11741.1,11743.95,123300
25-06-2019 12:40,11742,11748.55,11740.55,11744.65,70350
25-06-2019 12:45,11744.65,11755.75,11744.4,11753.55,125550
25-06-2019 12:50,11752,11753.25,11746.15,11748.3,67800
25-06-2019 12:55,11748.3,11754,11743.15,11744.6,95625
25-06-2019 13:00,11743.35,11752,11742.1,11750.95,69075
25-06-2019 13:05,11750.95,11752,11743.1,11749,63300
25-06-2019 13:10,11749.45,11774,11744.55,11768.15,397425
25-06-2019 13:15,11768.9,11778.2,11766.15,11770,207075
25-06-2019 13:20,11771,11774.95,11763.6,11772.95,91875
25-06-2019 13:25,11774.4,11786.4,11771.1,11782,198075
25-06-2019 13:30,11780.75,11793,11780.75,11785,266250
25-06-2019 13:35,11785.5,11799,11785.5,11797.8,201075
25-06-2019 13:40,11797.8,11807.55,11791.8,11801.95,237000
25-06-2019 13:45,11800,11804.15,11782.75,11788,168075
25-06-2019 13:50,11788,11794.85,11784.5,11788,199725
25-06-2019 13:55,11788,11797.35,11782.25,11788.35,174375
25-06-2019 14:00,11788.35,11801.1,11784.45,11799,137475
25-06-2019 14:05,11797.65,11806,11793.4,11806,100575
25-06-2019 14:10,11805.8,11809.65,11796,11798.55,107625
25-06-2019 14:15,11799.45,11814.4,11799.45,11810.6,182850
25-06-2019 14:20,11810.6,11812.4,11802,11807.95,125250
25-06-2019 14:25,11806.9,11808.1,11793,11794.65,104025
25-06-2019 14:30,11794.7,11806.9,11794.1,11805,81525
25-06-2019 14:35,11806,11812.95,11801.1,11810.8,120150
25-06-2019 14:40,11810.75,11812,11802.15,11804,89250
25-06-2019 14:45,11803.2,11811.95,11798.05,11806.5,93375
25-06-2019 14:50,11806.55,11816.9,11799.3,11812.9,121425
25-06-2019 14:55,11812.9,11823.5,11808.85,11814.2,194700
25-06-2019 15:00,11815,11834,11814.75,11825.7,459675
25-06-2019 15:05,11825.65,11828.1,11822.35,11823.9,214275
25-06-2019 15:10,11822.35,11823.75,11807.5,11807.5,226200
25-06-2019 15:15,11807.2,11807.6,11792.9,11798.75,341025
25-06-2019 15:20,11798.15,11804,11795.65,11799,231975
25-06-2019 15:25,11798.8,11798.8,11786.75,11788.85,367050
26-06-2019 09:15,11774.9,11798.9,11767.1,11795.75,306750
26-06-2019 09:20,11792.7,11812,11792.7,11804.8,293325
26-06-2019 09:25,11806,11816.9,11806,11810.1,164850
26-06-2019 09:30,11809.9,11819.7,11807,11816.95,149475
26-06-2019 09:35,11815.7,11829.85,11815.5,11827.5,197700
26-06-2019 09:40,11827.4,11839.95,11826.15,11830.2,237750
26-06-2019 09:45,11830.25,11837.9,11829.85,11834.05,168525
26-06-2019 09:50,11834,11834,11824.55,11827.55,217500
26-06-2019 09:55,11827.7,11829.95,11822,11822.4,217200
26-06-2019 10:00,11822,11831.15,11820.8,11828.55,114750
26-06-2019 10:05,11829.3,11831,11816.85,11819.25,117375
26-06-2019 10:10,11818.5,11825.85,11818.15,11822.95,99750
26-06-2019 10:15,11822.95,11829.95,11821.2,11829.15,146025
26-06-2019 10:20,11829.95,11833.15,11824,11826,77550
26-06-2019 10:25,11826.95,11829,11824.1,11828.85,76725
26-06-2019 10:30,11828.85,11829.7,11817.7,11818,93825
26-06-2019 10:35,11817.7,11822.05,11817.05,11821,144675
26-06-2019 10:40,11819.55,11824.95,11819.4,11820.25,91575
26-06-2019 10:45,11820,11824.5,11818,11818.05,122100
26-06-2019 10:50,11818.05,11821,11802.55,11811.45,233025
26-06-2019 10:55,11811.45,11812.5,11794.95,11802.75,172125
26-06-2019 11:00,11802.75,11813,11802.1,11811.7,121575
26-06-2019 11:05,11810,11819.4,11808.85,11818,125625
26-06-2019 11:10,11817.95,11826.3,11816,11823.25,85650
26-06-2019 11:15,11823.25,11828,11818,11825.95,69375
26-06-2019 11:20,11825.95,11831,11824,11824.75,89550
26-06-2019 11:25,11826.95,11826.95,11820.3,11820.75,139875
26-06-2019 11:30,11822.9,11824.8,11818,11820.8,58725
26-06-2019 11:35,11819.95,11825,11816,11819.8,77700
26-06-2019 11:40,11819,11822,11813.65,11819,38475
26-06-2019 11:45,11819.8,11823,11818.2,11822,70950
26-06-2019 11:50,11822,11824.95,11819.25,11823.9,34275
26-06-2019 11:55,11823,11828.3,11820.2,11825.8,66975
26-06-2019 12:00,11827.65,11834,11824.75,11829.65,101550
26-06-2019 12:05,11829.9,11831.75,11825.2,11827.05,62475
26-06-2019 12:10,11827.45,11831.4,11825,11828,85050
26-06-2019 12:15,11828,11829.95,11824.05,11824.2,98550
26-06-2019 12:20,11824.3,11849.05,11824.3,11845,217800
26-06-2019 12:25,11845.15,11848.95,11843.1,11847.6,169200
26-06-2019 12:30,11845.65,11852.85,11844.55,11846,149550
26-06-2019 12:35,11845.75,11845.85,11838.7,11844.4,132900
26-06-2019 12:40,11844.3,11851.6,11844.1,11844.1,68550
26-06-2019 12:45,11844.1,11845.9,11836.4,11841.95,174150
26-06-2019 12:50,11841.45,11844.85,11839,11842.1,52950
26-06-2019 12:55,11842.1,11842.15,11836,11838.4,85200
26-06-2019 13:00,11837.9,11837.9,11824.45,11833.4,131850
26-06-2019 13:05,11832.1,11838,11832.1,11837,46275
26-06-2019 13:10,11837,11839.55,11829.7,11831.35,99225
26-06-2019 13:15,11828.2,11838.45,11825.4,11832.25,132450
26-06-2019 13:20,11832.8,11834.2,11816.25,11824.75,165000
26-06-2019 13:25,11823.3,11835,11822,11832.85,130350
26-06-2019 13:30,11834.45,11840,11831.25,11836.05,162075
26-06-2019 13:35,11836.05,11843.7,11830.55,11840.4,184800
26-06-2019 13:40,11840.05,11843.7,11835.05,11836.25,304200
26-06-2019 13:45,11836.25,11842,11835.05,11840.2,100575
26-06-2019 13:50,11842.55,11845.85,11832.4,11835,113175
26-06-2019 13:55,11834.05,11837.75,11830,11830.6,124800
26-06-2019 14:00,11830.6,11834.25,11821.05,11833.4,151050
26-06-2019 14:05,11833.4,11839.1,11832,11836.4,146475
26-06-2019 14:10,11835,11841.9,11834.1,11839.95,83175
26-06-2019 14:15,11839.95,11851.4,11839.95,11848,149775
26-06-2019 14:20,11846.2,11848.3,11838.25,11840,116925
26-06-2019 14:25,11840,11842.65,11832,11842.05,69600
26-06-2019 14:30,11841.5,11847,11831.15,11837.25,89250
26-06-2019 14:35,11837.25,11848.65,11836.65,11845.1,181650
26-06-2019 14:40,11846.1,11874,11844.05,11872.9,480825
26-06-2019 14:45,11873.2,11888.25,11869,11883.35,401550
26-06-2019 14:50,11883.35,11890,11872.55,11879.9,213075
26-06-2019 14:55,11877.85,11889.45,11877.35,11883.05,133125
26-06-2019 15:00,11882.6,11882.6,11869,11872.55,256800
26-06-2019 15:05,11871.3,11871.8,11855.85,11861.8,257175
26-06-2019 15:10,11862.35,11870,11861.55,11867.1,159525
26-06-2019 15:15,11867.1,11868,11856.45,11860.25,186150
26-06-2019 15:20,11859.9,11864,11857,11858.45,221100
26-06-2019 15:25,11858.5,11862.6,11856.75,11862,246675
27-06-2019 09:15,11876.75,11893.45,11872.6,11889.7,263250
27-06-2019 09:20,11891.8,11896.9,11886.1,11887.25,298800
27-06-2019 09:25,11887.25,11888,11873.25,11884,226875
27-06-2019 09:30,11883.05,11885.45,11879.1,11882.2,127425
